,Unnamed: 0,begin,end,filename,shot_id,transcript,daily life,score
15999,15999,00:28:41:18,00:28:45:05,5266645664934403562.xml,568,"It's only for today, isn't it?  Exactly.",0.20165389776229858,0.20165389776229858
16230,16230,00:38:53:21,00:38:57:20,5266645664934403562.xml,799,"I wondered if he'd been here.  Well, he hasn't. Abi, can you come downstairs?",0.2016330063343048,0.2016330063343048
3281,3281,01:01:13:04,01:01:17:17,5248439298566680341.xml,1201,"I mean, it ain't just  feeding 'em that adds up, it's all the other stuff.",0.2016323208808899,0.2016323208808899
8905,8905,00:10:37:17,00:10:50:18,5256228221757951173.xml,194,"If Pat wants sandwiches,  let her make them herself. Archie, I said I would.  It's a big day for her.",0.2015756070613861,0.2015756070613861
1417,1417,01:15:27:20,01:15:28:24,5245830105934359183.xml,1418,"Oh, good ball, good ball. ",0.20155972242355347,0.20155972242355347
21738,21738,00:35:19:03,00:35:21:08,5274434588125702436.xml,645,"She wouldn't see me, Dot. ",0.20146507024765015,0.20146507024765015
11256,11256,00:30:29:15,00:30:34:19,5258818087037440299.xml,625,"I checked earlier, before  she went to the wholesaler's. But don't put 'em with  the rest of the stock.",0.20146268606185913,0.20146268606185913
17200,17200,01:36:03:00,01:36:07:09,5266645664934403562.xml,1769,"You gonna tell the truth, or what?  Real story's boring.",0.20141790807247162,0.20141790807247162
21259,21259,00:09:01:03,00:09:08:20,5274434588125702436.xml,166,"Oh, and, Chelse?  If my feet hurt, it's your fault. ",0.20139138400554657,0.20139138400554657
18277,18277,00:42:12:04,00:42:13:00,5269245838135402929.xml,741,But I can make this a success. ,0.2012663036584854,0.2012663036584854
14088,14088,01:05:19:14,01:05:21:00,5264050645694159353.xml,1239,"I didn't wanna dump you.  I didn't.  Well, then why did ya?!",0.2011357843875885,0.2011357843875885
18090,18090,00:29:54:11,00:30:00:04,5269245838135402929.xml,554,"Hello darlin'.  Hello. You sleep OK? Yeah.  Fine, thanks.  Don't you live somewhere else now?",0.2011149823665619,0.2011149823665619
1761,1761,01:35:48:15,01:35:51:14,5245830105934359183.xml,1762,He smiled at me. ,0.2010619342327118,0.2010619342327118
20046,20046,00:52:29:17,00:52:31:01,5271844722846213628.xml,1016,Me and you?  Why not?,0.2007146030664444,0.2007146030664444
16951,16951,01:22:34:03,01:22:36:07,5266645664934403562.xml,1520,I'll take care of your first  year's rent. Dad!  Really?,0.20058992505073547,0.20058992505073547
19239,19239,00:10:12:00,00:10:14:04,5271844722846213628.xml,209,the happier I'll be. ,0.20045025646686554,0.20045025646686554
10289,10289,01:32:16:05,01:32:19:04,5256228221757951173.xml,1578,I do want you to be there  and I'll fight for you.,0.2004402130842209,0.2004402130842209
8987,8987,00:16:31:08,00:16:34:06,5256228221757951173.xml,276,"You see, I know you better  than you know yourself, don't I?",0.20041227340698242,0.20041227340698242
11149,11149,00:24:35:17,00:24:50:11,5258818087037440299.xml,518,"You know, you tell yourself  that this is who you are, that the past is dead and gone,  and you can handle it.  You even believe it sometimes, and... ",0.20027600228786469,0.20027600228786469
21219,21219,00:06:35:08,00:06:52:04,5274434588125702436.xml,126,"Thanks for coming.  You can thank Dot. She's taking care of Oscar.  Spoiling him rotten, I bet.  Yeah, she's a diamond. ",0.20025771856307983,0.20025771856307983
10165,10165,01:25:38:03,01:25:42:16,5256228221757951173.xml,1454,What's Whitney got to say?  How will you persuade her to go? She won't even talk to you!,0.200114905834198,0.200114905834198
8031,8031,01:21:28:15,01:21:32:16,5253646087419594905.xml,1422,"Oh, come on, Ronnie.  You're not 14 any more. Some dysfunctional little mouse. ",0.2001076638698578,0.2001076638698578
20593,20593,01:22:39:09,01:22:40:00,5271844722846213628.xml,1563,"Sadly, I got that job.  So where did she go? She didn't say.",0.2000158578157425,0.2000158578157425
1467,1467,01:17:26:06,01:17:28:06,5245830105934359183.xml,1468,You want a free cab ride?  I want more than one.,0.19979175925254822,0.19979175925254822
20680,20680,01:27:58:08,01:28:00:04,5271844722846213628.xml,1650,"Yeah, I was covering for Jane. ",0.19973526895046234,0.19973526895046234
6637,6637,00:02:24:21,00:02:26:12,5253646087419594905.xml,28,"Cheers.  You all right, Bradley?",0.19965197145938873,0.19965197145938873
5153,5153,00:41:57:10,00:42:02:06,5251033029316736209.xml,837,"I gotta go, darlin',  yeah, sorry, speak later.",0.1994848996400833,0.1994848996400833
2138,2138,00:03:28:10,00:03:32:16,5248439298566680341.xml,58,"I just wanna be a family,  Stace, all right.",0.19946183264255524,0.19946183264255524
8964,8964,00:15:07:15,00:15:09:00,5256228221757951173.xml,253,Whitney...  Bye.,0.19945886731147766,0.19945886731147766
7122,7122,00:30:37:22,00:30:39:05,5253646087419594905.xml,513,I've got my appraisal this morning. ,0.19941964745521545,0.19941964745521545
11242,11242,00:29:50:09,00:30:03:19,5258818087037440299.xml,611,Bet you never thought  I still had it in me. Good to know the Beale Machine  is firing on all cylinders. Even if it does need a bit of  oiling to get it started.,0.19935691356658936,0.19935691356658936
20993,20993,01:49:16:04,01:49:20:04,5271844722846213628.xml,1963,"Oh, hello, Bill, yeah... ",0.19931605458259583,0.19931605458259583
11726,11726,00:55:44:21,00:55:46:16,5258818087037440299.xml,1095,"Do you get that, Tanya? ",0.19922031462192535,0.19922031462192535
8623,8623,01:52:52:18,01:52:55:21,5253646087419594905.xml,2014,"I need to know where I stand,  Patrick.",0.1990886926651001,0.1990886926651001
10382,10382,01:38:58:13,01:39:01:00,5256228221757951173.xml,1671,she was really excited to meet you.  Christian.,0.19898848235607147,0.19898848235607147
22285,22285,01:06:32:01,01:06:34:06,5274434588125702436.xml,1192,Oh...  Can I have more than one?  Have as many as you like.,0.19898287951946259,0.19898287951946259
8483,8483,01:44:31:05,01:44:34:07,5253646087419594905.xml,1874,What about that one? ,0.198894202709198,0.198894202709198
20583,20583,01:22:23:03,01:22:25:15,5271844722846213628.xml,1553,"Don't worry about it,  I just came in for somewhere to sit.",0.198797345161438,0.198797345161438
9867,9867,01:07:28:04,01:07:30:10,5256228221757951173.xml,1156,"Um, it was on your desk.  There was a handwritten one, though, I'm sure.",0.1985706090927124,0.1985706090927124
135,135,00:08:11:15,00:08:13:24,5245830105934359183.xml,136,"Yeah, right.  So you don't like it?",0.19850188493728638,0.19850188493728638
2348,2348,00:14:22:18,00:14:26:06,5248439298566680341.xml,268,Tony!  Oh... Right. ,0.19835974276065826,0.19835974276065826
6936,6936,00:18:49:06,00:18:51:08,5253646087419594905.xml,327,but you're the last person  that Bradley'll listen to.,0.19833771884441376,0.19833771884441376
12359,12359,01:28:55:21,01:28:59:05,5258818087037440299.xml,1728,"I'll tell you why,  cos they've already got boyfriends.",0.19832085072994232,0.19832085072994232
12058,12058,01:10:48:17,01:10:53:00,5258818087037440299.xml,1427,"No, no.  Of course not.  I know she's up to something. ",0.19828832149505615,0.19828832149505615
13370,13370,00:25:44:22,00:25:48:23,5264050645694159353.xml,521,"That's all.  But she doesn't believe  me.  She's about to make the biggest mistake of her life, cos why?",0.19826002418994904,0.19826002418994904
2279,2279,00:11:04:03,00:11:08:14,5248439298566680341.xml,199,"Whatever you do, don't leave me.  Promise? Why? Just promise.  I promise.",0.19824278354644775,0.19824278354644775
5138,5138,00:40:52:22,00:41:05:15,5251033029316736209.xml,822,"You don't need to do that, Pat.  You're our guest. No worries.",0.19824135303497314,0.19824135303497314
7612,7612,00:56:13:18,00:56:17:18,5253646087419594905.xml,1003,"Oh, Whit, you can have half a glass,  darling. Got nothing to say? ",0.19820930063724518,0.19820930063724518
21972,21972,00:48:58:08,00:49:00:14,5274434588125702436.xml,879,"You OK?  I'll be fine,",0.1981937736272812,0.1981937736272812
18959,18959,01:23:15:06,01:23:17:19,5269245838135402929.xml,1423,Could be worse.  She could  have asked for her money back.,0.1980682611465454,0.1980682611465454
22987,22987,01:43:59:22,01:44:04:20,5274434588125702436.xml,1894,Can you? ,0.19799350202083588,0.19799350202083588
3523,3523,01:11:07:01,01:11:11:07,5248439298566680341.xml,1443,"Never say sorry,  even when they're in the wrong. Just sit around all day  watching sports.",0.19795729219913483,0.19795729219913483
12165,12165,01:16:47:01,01:16:49:16,5258818087037440299.xml,1534,"Well, we better  take a look at you then.",0.19794794917106628,0.19794794917106628
7258,7258,00:37:30:02,00:37:31:21,5253646087419594905.xml,649,How about I bring you over  a couple of sausage sandwiches?,0.19779054820537567,0.19779054820537567
5784,5784,01:15:43:23,01:15:47:10,5251033029316736209.xml,1468,"Yes, darling? ",0.19778676331043243,0.19778676331043243
20274,20274,01:04:35:06,01:04:57:22,5271844722846213628.xml,1244,"Hello, Vinnie, it's me.  How long are you gonna love me for?  I'm about to make  you a very happy man. You're gonna be King of the Vic! ",0.1976996511220932,0.1976996511220932
20864,20864,01:39:35:09,01:39:37:19,5271844722846213628.xml,1834,"I ain't buying this.  This is stupid.  Buying what?  You.  You're up to something, I can smell it on you.",0.19758263230323792,0.19758263230323792
19456,19456,00:21:48:11,00:21:56:17,5271844722846213628.xml,426,"That was Phil.  She's had a girl.  Oh, brilliant.  Is she all right? I don't know.  I forgot to ask. ",0.1975797563791275,0.1975797563791275
20995,20995,01:49:26:00,01:49:28:12,5271844722846213628.xml,1965,What d'you think?  No way.  You and Vin?,0.19754508137702942,0.19754508137702942
22639,22639,01:25:43:12,01:25:49:19,5274434588125702436.xml,1546,"I'll think about it.  Now go on,  go and get yourself cleaned up, all right?",0.19753876328468323,0.19753876328468323
8278,8278,01:33:24:23,01:33:27:11,5253646087419594905.xml,1669,"Look, I don't blame you, Stace. ",0.1975308656692505,0.1975308656692505
12627,12627,01:45:34:14,01:45:36:13,5258818087037440299.xml,1996,No.  I don't think so. ,0.19752147793769836,0.19752147793769836
846,846,00:46:40:06,00:46:42:11,5245830105934359183.xml,847,"If I have to keep this smile  going without slapping her, it's doing my head in...",0.19751103222370148,0.19751103222370148
8332,8332,01:36:22:21,01:36:25:09,5253646087419594905.xml,1723,I didn't want to tell her!  Dorothy...,0.19749490916728973,0.19749490916728973
9018,9018,00:18:07:05,00:18:09:15,5256228221757951173.xml,307,"You said you'd do a few sandwiches.  Yes, but I didn't have time, did I?",0.19746021926403046,0.19746021926403046
12706,12706,01:50:07:15,01:50:10:16,5258818087037440299.xml,2075,"Do I?  I love you, Ian.  You have to believe me.",0.1973983645439148,0.1973983645439148
890,890,00:49:10:03,00:49:15:17,5245830105934359183.xml,891,"I think I'd rather have a bag of  nuts, go on, do a snack round.",0.19736869633197784,0.19736869633197784
17611,17611,00:03:29:22,00:03:36:17,5269245838135402929.xml,75,I'm sorry.  I'm so sorry. ,0.1973142772912979,0.1973142772912979
8956,8956,00:14:41:16,00:14:44:21,5256228221757951173.xml,245,"Tiffany?  Just come here a sec, darling.",0.19730977714061737,0.19730977714061737
22406,22406,01:11:24:17,01:11:26:15,5274434588125702436.xml,1313,And you know that for a fact?  She confessed!,0.19724108278751373,0.19724108278751373
1735,1735,01:34:51:04,01:35:04:18,5245830105934359183.xml,1736,"Jane?  Lucy, is that you? ",0.19723668694496155,0.19723668694496155
7072,7072,00:27:21:22,00:27:22:24,5253646087419594905.xml,463,Yeah.  Why not? ,0.19720493257045746,0.19720493257045746
3807,3807,01:25:44:00,01:25:46:23,5248439298566680341.xml,1727,"Blokes aren't the be-all  and end-all, you know.",0.197188138961792,0.197188138961792
10194,10194,01:27:03:02,01:27:31:07,5256228221757951173.xml,1483,"Yeah, yeah, well I'm doing the  guest list now so if you want in... ...definitely not  a night to remember, if you're going to have  the time I'm planning. No, you won't remember anything.  Oh, hold on a second,  I can't hear myself think. I'm going to head into the office.  Wait a second. How you doing, Cinders?  She wants the place looking spotless",0.19702470302581787,0.19702470302581787
1259,1259,01:08:48:03,01:09:01:24,5245830105934359183.xml,1260,"I don't think it's a good idea.  Why not? I wasn't there.  But you know he's wrong and I'm right. Why don't you ask someone else?  Because I want you.  Please! Look, no.  I'm sorry.  Ricky!  No.  Look, I can't, all right? I'm sorry.",0.1969396322965622,0.1969396322965622
16688,16688,01:06:18:11,01:06:19:13,5266645664934403562.xml,1257,"200 quid.  So I think I'm gonna head  into town later, splash the cash on some new clothes.",0.1968512386083603,0.1968512386083603
2759,2759,00:35:00:11,00:35:02:06,5248439298566680341.xml,679,ye of little faith. ,0.19682084023952484,0.19682084023952484
6301,6301,01:40:52:18,01:40:54:08,5251033029316736209.xml,1985,Where is he?  Who? You know who I'm talking about.,0.1967620700597763,0.1967620700597763
1215,1215,01:06:49:07,01:06:51:07,5245830105934359183.xml,1216,"Yeah, I think I do, Pat. ",0.19672302901744843,0.19672302901744843
6656,6656,00:03:24:15,00:03:27:05,5253646087419594905.xml,47,Liam! ,0.19669680297374725,0.19669680297374725
16025,16025,00:29:58:18,00:30:03:17,5266645664934403562.xml,594,"I suggested as much.  Thanks, Arch.  I'll sort out a cab number and some cash.",0.1966540366411209,0.1966540366411209
12876,12876,00:01:55:03,00:01:58:09,5264050645694159353.xml,27,She say anything else?  Nah.,0.19663329422473907,0.19663329422473907
3886,3886,01:29:54:11,01:29:56:07,5248439298566680341.xml,1806,between the sheets these days.  Still playing happy families?,0.1965911090373993,0.1965911090373993
4925,4925,00:29:57:01,00:30:00:06,5251033029316736209.xml,609,I need another gun.  You what? You heard.,0.19654862582683563,0.19654862582683563
8333,8333,01:36:25:10,01:36:28:19,5253646087419594905.xml,1724,"let's just put a line under it,  all right?",0.1965143084526062,0.1965143084526062
8259,8259,01:32:44:02,01:32:46:03,5253646087419594905.xml,1650,"Right, hang on.  What are you doing?",0.19634896516799927,0.19634896516799927
12391,12391,01:31:36:07,01:31:43:20,5258818087037440299.xml,1760,"But really, no, seriously, we should  try and keep our men happy. You know, they say the best way to a  man's heart is through his stomach.",0.1963353455066681,0.1963353455066681
3282,3282,01:01:17:18,01:01:24:02,5248439298566680341.xml,1202,Jabs.  Security.  And that's just if they're healthy. Vet's bills run into thousands.  Maybe I should try his mobile again. ,0.1962926983833313,0.1962926983833313
11045,11045,00:19:49:13,00:19:53:00,5258818087037440299.xml,414,"when I see Jay,  my heart goes out to him. I've been there myself, see?  Homes and that.",0.196231409907341,0.196231409907341
15792,15792,00:18:47:04,00:18:48:13,5266645664934403562.xml,361,"I mean, Max might be scum,  but Tanya and the kids, they need our support.",0.19620384275913239,0.19620384275913239
18241,18241,00:39:12:14,00:39:15:10,5269245838135402929.xml,705,"Right, OK.  Well, where's Jack?  He's not answering his phone,  but we can get him on the way.",0.19613242149353027,0.19613242149353027
8014,8014,01:20:27:12,01:20:33:22,5253646087419594905.xml,1405,Same reason as Ronnie.  Meet up with a first love again. And is she here? ,0.19608227908611298,0.19608227908611298
7285,7285,00:38:43:09,00:38:46:05,5253646087419594905.xml,676,"is that me and you are over.  As far as I'm concerned, ",0.19604292511940002,0.19604292511940002
15014,15014,01:58:19:02,01:58:20:00,5264050645694159353.xml,2165,I was just saying. ,0.19603168964385986,0.19603168964385986
22852,22852,01:35:32:15,01:35:41:23,5274434588125702436.xml,1759,Hi.  Good morning? Yeah. I think I've found someone  to do the judo classes. And I've found a location  for the adventure weekend.,0.19598184525966644,0.19598184525966644
6755,6755,00:08:58:06,00:08:59:18,5253646087419594905.xml,146,You can't go to the cinema  on your own.,0.1959531456232071,0.1959531456232071
11833,11833,01:00:39:02,01:00:40:23,5258818087037440299.xml,1202,"Yeah.  Yeah, why not? ",0.19594818353652954,0.19594818353652954
1636,1636,01:28:39:01,01:28:43:01,5245830105934359183.xml,1637,Exactly.  I ain't gonna  be stepping on your toes.,0.19592924416065216,0.19592924416065216
17159,17159,01:33:51:20,01:33:54:13,5266645664934403562.xml,1728,"Oh, I've always loved these. ",0.19590939581394196,0.19590939581394196
21789,21789,00:38:26:07,00:38:29:17,5274434588125702436.xml,696,"Anyway.  I'll see you later.  Look, he thinks I'm his mummy.",0.19586050510406494,0.19586050510406494
13646,13646,00:40:24:13,00:40:28:16,5264050645694159353.xml,797,Why doesn't anybody listen to me? ,0.19585959613323212,0.19585959613323212
18593,18593,01:01:34:03,01:01:39:07,5269245838135402929.xml,1057,I should be with Bradley. ,0.19578416645526886,0.19578416645526886
5099,5099,00:38:51:15,00:38:53:00,5251033029316736209.xml,783,He's already asked me  to get him another one. I hope you said no.,0.19565899670124054,0.19565899670124054
3262,3262,01:00:19:12,01:00:24:10,5248439298566680341.xml,1182,"This is Tony, um...  Bianca's...  Oh, right, hello.",0.1955542117357254,0.1955542117357254
20202,20202,01:01:29:14,01:01:31:00,5271844722846213628.xml,1172,"Call her, tell her you can't  make it. I would, but...I...",0.19543883204460144,0.19543883204460144
22221,22221,01:03:02:21,01:03:07:02,5274434588125702436.xml,1128,"The joys of parenthood, eh?  Just the usual teenage stuff.  Come in.",0.19540688395500183,0.19540688395500183
22568,22568,01:21:00:18,01:21:12:18,5274434588125702436.xml,1475,Are you going to tell me  why you're doing this to me? This isn't about you.  What is it about?  You wouldn't understand.  Try me. ,0.1953861564397812,0.1953861564397812
9228,9228,00:30:52:08,00:30:59:10,5256228221757951173.xml,517,Will you come with me?  Please? ,0.19529689848423004,0.19529689848423004
20974,20974,01:48:07:22,01:48:14:03,5271844722846213628.xml,1944,"Really?  Yeah, I know people who know people. Oh, well, I'll find out then. ",0.19526197016239166,0.19526197016239166
19771,19771,00:38:21:02,00:38:22:15,5271844722846213628.xml,741,"Oh, thank you. ",0.19518379867076874,0.19518379867076874
4779,4779,00:23:36:15,00:23:39:23,5251033029316736209.xml,463,"So have you sorted out  all those clothes, Peggy? I'm thinking of making a trip  to the charity shop tomorrow. No. Not yet. What's all this, then?",0.19507215917110443,0.19507215917110443
16948,16948,01:22:13:14,01:22:24:06,5266645664934403562.xml,1517,"You'll need all the support you can  get when the little one arrives. But we've gotta be realistic.  It's just the way things are with property.  We can't afford it. If money's the issue,  it can be sorted, all right. I've had a word with a friend.  He owes me a favour.",0.1950702965259552,0.1950702965259552
17412,17412,01:47:19:15,01:47:26:07,5266645664934403562.xml,1981,"Lauren, darling, please...  Open the door.",0.1949363648891449,0.1949363648891449
4679,4679,00:18:40:17,00:18:44:02,5251033029316736209.xml,363,I'll see what I've got. ,0.1946573108434677,0.1946573108434677
21922,21922,00:46:21:12,00:46:24:20,5274434588125702436.xml,829,"You all right, Tan? ",0.19462335109710693,0.19462335109710693
5802,5802,01:16:35:07,01:16:44:02,5251033029316736209.xml,1486,"Something smells nice.  Yeah, Tiffany wanted me  to make some biscuits for Morgan. Like you don't cook enough.  I don't mind.",0.1945960372686386,0.1945960372686386
14565,14565,01:32:28:12,01:32:36:11,5264050645694159353.xml,1716,Are you not even gonna hold me?  I'll get you a drink. You OK? ,0.19452297687530518,0.19452297687530518
22953,22953,01:42:00:12,01:42:01:11,5274434588125702436.xml,1860,"You all right, Tiff? ",0.19452184438705444,0.19452184438705444
11898,11898,01:03:34:06,01:03:48:06,5258818087037440299.xml,1267,"But don't you think  it's about time you did? No!  Not now I've come this far.  I just need to find a way to  get him out of the way later. Oh, no.  Do not get me involved again.  Oh, please! ",0.19422078132629395,0.19422078132629395
21610,21610,00:29:29:13,00:29:30:07,5274434588125702436.xml,517,He's not gonna wanna be left  on his own.,0.19415706396102905,0.19415706396102905
14747,14747,01:42:30:17,01:42:38:03,5264050645694159353.xml,1898,And I got you.  Whatever the cost. ,0.1941455751657486,0.1941455751657486
19340,19340,00:16:28:19,00:16:32:03,5271844722846213628.xml,310,I realised it was my job  to take care of you.,0.19403457641601562,0.19403457641601562
20305,20305,01:07:05:09,01:07:06:15,5271844722846213628.xml,1275,Are you gonna go and see him? ,0.19400329887866974,0.19400329887866974
14253,14253,01:14:43:16,01:14:50:07,5264050645694159353.xml,1404,So why can't you just be reasonable?  Cos they're my kids. ,0.1939658671617508,0.1939658671617508
10178,10178,01:26:23:19,01:26:29:20,5256228221757951173.xml,1467,"Here you are, that's one with sugar.  Less pressure.  Why does everyone keep going on about pressure?",0.19396427273750305,0.19396427273750305
16797,16797,01:13:41:16,01:14:03:13,5266645664934403562.xml,1366,"Lucy, turn the music down.  Lucy!  Turn...  Thank you.  Hello?  No, she's not, who is it?  Well, whatever it's about, you  can tell me cos I'm her husband.",0.19393059611320496,0.19393059611320496
9447,9447,00:43:06:18,00:43:08:11,5256228221757951173.xml,736,Is it all right if I say something? ,0.1939200460910797,0.1939200460910797
20538,20538,01:18:58:09,01:18:59:24,5271844722846213628.xml,1508,He needs you. ,0.19390322268009186,0.19390322268009186
17592,17592,00:02:26:10,00:02:27:04,5269245838135402929.xml,56,They're both grown-ups.  Just leave  them alone.  Phil!  You're back.  Oh!,0.19380733370780945,0.19380733370780945
5760,5760,01:14:34:01,01:14:40:12,5251033029316736209.xml,1444,Because he would have ended up  offering to pay my train fare and I can't let him do that.,0.19373053312301636,0.19373053312301636
19676,19676,00:33:59:22,00:34:01:02,5271844722846213628.xml,646,Why?  You been somewhere? ,0.19372624158859253,0.19372624158859253
17281,17281,01:40:01:20,01:40:08:21,5266645664934403562.xml,1850,I'll go and hurry them along.  Don't want it to get cold. Not after all the trouble  you've taken.,0.1937064379453659,0.1937064379453659
973,973,00:53:22:10,00:53:28:21,5245830105934359183.xml,974,Suzy asked me to come in  and give you a hand. You can put some crisps out  if you want. Fried parsnips?,0.19368819892406464,0.19368819892406464
782,782,00:43:47:17,00:43:49:00,5245830105934359183.xml,783,you get in the middle of those  two and it'll blow up in your face.,0.19357524812221527,0.19357524812221527
18275,18275,00:42:08:20,00:42:10:16,5269245838135402929.xml,739,No.  Now wait.  Now listen.  Thank you for coming in.,0.19349780678749084,0.19349780678749084
14285,14285,01:15:59:20,01:16:03:15,5264050645694159353.xml,1436,and you.  And now I've got it in my  hand and I'm pointing it at you.,0.19347527623176575,0.19347527623176575
6256,6256,01:38:23:20,01:38:28:14,5251033029316736209.xml,1940,"Please, Mr Manager.  None of this is her fault.  Patrick  accidentally left the fridge off.",0.19346867501735687,0.19346867501735687
6981,6981,00:21:24:07,00:21:28:11,5253646087419594905.xml,372,I thought you were leaving.  Eh? No.  I was just taking stuff  to the laundry.,0.19341635704040527,0.19341635704040527
388,388,00:22:36:15,00:22:42:16,5245830105934359183.xml,389,"No promises, though. ",0.19337454438209534,0.19337454438209534
5553,5553,01:03:56:02,01:04:06:12,5251033029316736209.xml,1237,You told the doctor  where you got the prawns. Only cos she insisted!  I didn't want to.  Dorothy... ,0.19330257177352905,0.19330257177352905
10544,10544,01:48:34:23,01:48:43:23,5256228221757951173.xml,1833,Here you are.  What's this?  Hot chocolate.,0.19303834438323975,0.19303834438323975
15527,15527,00:04:38:07,00:04:40:02,5266645664934403562.xml,96,I'm not going down for you.  Just make sure they haven't got anything on me.,0.19302953779697418,0.19302953779697418
11543,11543,00:45:10:03,00:45:14:19,5258818087037440299.xml,912,And you handled yourself brilliantly.  Do you think so?,0.19302378594875336,0.19302378594875336
16449,16449,00:52:47:01,00:52:54:23,5266645664934403562.xml,1018,She never gave me much  encouragement as a child. My mum.  I used to get  called names at school.,0.19285352528095245,0.19285352528095245
19184,19184,00:07:39:00,00:07:40:03,5271844722846213628.xml,154,Roxy! ,0.19276757538318634,0.19276757538318634
20771,20771,01:33:39:17,01:33:41:00,5271844722846213628.xml,1741,"Oh.  You'd let her do it?  Yeah, like a shot. She hasn't got it in for you!",0.1927313655614853,0.1927313655614853
6191,6191,01:35:06:15,01:35:09:10,5251033029316736209.xml,1875,"Look, I AM gonna tell him,  just not yet.",0.1926703006029129,0.1926703006029129
5668,5668,01:10:01:04,01:10:04:13,5251033029316736209.xml,1352,We've missed lunch.  Why don't you  come round for dinner later on?,0.19266878068447113,0.19266878068447113
21659,21659,00:31:29:24,00:31:34:04,5274434588125702436.xml,566,"Well, what's your plan B?  I was hoping that Callum would step up.",0.19223488867282867,0.19223488867282867
4623,4623,00:15:35:04,00:15:38:10,5251033029316736209.xml,307,But it's already booked -  I'd have to cancel. Why waste good money when  there's a perfectly good room here?,0.19223232567310333,0.19223232567310333
5318,5318,00:51:39:02,00:51:42:02,5251033029316736209.xml,1002,"Sorry, babe.  It's time to take him home.",0.19222255051136017,0.19222255051136017
10054,10054,01:18:06:22,01:18:08:03,5256228221757951173.xml,1343,"Fizz?  Yeah, you know, lemonade and cola.",0.19219036400318146,0.19219036400318146
6830,6830,00:13:28:03,00:13:30:21,5253646087419594905.xml,221,# Half of us are satisfied...  # ,0.19208890199661255,0.19208890199661255
7634,7634,00:57:49:00,00:57:53:12,5253646087419594905.xml,1025,"Well, supervising people  like myself and Patrick.",0.19207486510276794,0.19207486510276794
9701,9701,00:56:54:05,00:57:00:22,5256228221757951173.xml,990,It's just helping a dad  keep an eye on his daughter.,0.19207435846328735,0.19207435846328735
8946,8946,00:14:09:12,00:14:12:10,5256228221757951173.xml,235,I can't go over there now. ,0.1919352114200592,0.1919352114200592
12981,12981,00:06:37:12,00:06:38:22,5264050645694159353.xml,132,"Well, Darren's got his test.  And? Oh, sorry.  No offence, Darren, love, but you know, getting into Oxford is more important  than passing your driving test.",0.19192451238632202,0.19192451238632202
10244,10244,01:29:48:22,01:29:51:05,5256228221757951173.xml,1533,"I'll sort all that out.  Go on, Bi, make us some lunch,  we can eat together. Don't go just yet, please.",0.19181007146835327,0.19181007146835327
10391,10391,01:39:25:10,01:39:27:24,5256228221757951173.xml,1680,Lee.  I think you should tell us  exactly what's going on.,0.19156867265701294,0.19156867265701294
10459,10459,01:43:11:13,01:43:13:01,5256228221757951173.xml,1748,"Jay and I, well,  we've already met.",0.1915517896413803,0.1915517896413803
8624,8624,01:52:55:22,01:52:58:08,5253646087419594905.xml,2015,"I love you, babe. ",0.19123011827468872,0.19123011827468872
14842,14842,01:48:04:19,01:48:06:12,5264050645694159353.xml,1993,"No, it doesn't.  It must. It doesn't. We're gonna start our new lives.",0.19109272956848145,0.19109272956848145
6706,6706,00:06:19:13,00:06:22:12,5253646087419594905.xml,97,OK.  You seem like a smart girl. Plenty of initiative.,0.19098177552223206,0.19098177552223206
4211,4211,01:49:35:09,01:49:38:14,5248439298566680341.xml,2131,"It's all out there now, innit?  Just how you wanted it.",0.19096969068050385,0.19096969068050385
18515,18515,00:56:27:17,00:56:30:14,5269245838135402929.xml,979,Whatever it takes.  Just give me the name.,0.19096001982688904,0.19096001982688904
435,435,00:25:26:15,00:25:31:03,5245830105934359183.xml,436,"Sorry.  OK, have a go. Remember, straight arm, quick release of power.  Jab, across.  Good Danielle, good, a bit more from the shoulder, look...",0.19095642864704132,0.19095642864704132
7154,7154,00:31:40:02,00:31:43:21,5253646087419594905.xml,545,"Well, I am.  I wasn't sure that you were!",0.1909334361553192,0.1909334361553192
22287,22287,01:06:35:14,01:06:39:17,5274434588125702436.xml,1194,"Actually, we charge per dessert.  It's not an all-you-can-eat buffet.",0.19089244306087494,0.19089244306087494
18169,18169,00:35:08:12,00:35:11:09,5269245838135402929.xml,633,I am being realistic.  I know what I'm doing.  Trust me.  I've trusted you before - look where that got us.,0.19088250398635864,0.19088250398635864
18948,18948,01:22:42:21,01:22:58:10,5269245838135402929.xml,1412,"Well, what are you talking about?  He's kicked me out.  Put the house on the market. Sent me all my things.  They're back there,  hidden in your house. That's the reason I've come here.  Because at least  my children still love me.",0.1908733993768692,0.1908733993768692
5862,5862,01:19:15:11,01:19:17:08,5251033029316736209.xml,1546,See ya.  Bye!  We won't wait up.,0.19077780842781067,0.19077780842781067
7447,7447,00:46:50:19,00:46:54:18,5253646087419594905.xml,838,You cut me off at every opportunity.  I wanna know you better. That's why I've stayed.,0.1907324343919754,0.1907324343919754
2869,2869,00:41:14:24,00:41:18:11,5248439298566680341.xml,789,"Yeah, yeah, I'll see you later. ",0.19070923328399658,0.19070923328399658
15110,15110,02:04:52:20,02:04:55:09,5264050645694159353.xml,2261,Don't you ever wish you  had something better to do?,0.19059918820858002,0.19059918820858002
