,Unnamed: 0,begin,end,filename,shot_id,transcript,topic,score,score_hf
2522,2522,00:22:49:20,00:22:53:19,5248439298566680341.xml,442,Whitney!  We're off now.  Make an excuse.,events,,0.8794214725494385
3786,3786,01:24:13:20,01:24:20:17,5248439298566680341.xml,1706,"No, you've obviously decided  I'm the villain of the piece, so what's the point?",events,,0.8793951272964478
11556,11556,00:45:38:11,00:45:40:10,5258818087037440299.xml,925,"Oh, hello.  What's all this?  Blame me.",events,,0.8793705701828003
6152,6152,01:33:26:11,01:33:30:10,5251033029316736209.xml,1836,He was protecting me. ,events,,0.8793432712554932
7019,7019,00:24:28:06,00:24:34:18,5253646087419594905.xml,410,"If me and Patrick  lose our livelihood tomorrow,",events,,0.879245400428772
16761,16761,01:11:07:10,01:11:09:12,5266645664934403562.xml,1330,I can't go. ,events,,0.8791507482528687
20110,20110,00:56:43:18,00:56:47:22,5271844722846213628.xml,1080,..we have decided to bring  up the baby together.,events,,0.8790897727012634
1287,1287,01:09:50:22,01:09:52:01,5245830105934359183.xml,1288,I've ran all the way over here... ,events,,0.8790885806083679
22846,22846,01:35:17:09,01:35:22:03,5274434588125702436.xml,1753,Can I come in?  No. Phil?  I'm waiting. ,events,,0.8790772557258606
21206,21206,00:05:20:02,00:05:22:12,5274434588125702436.xml,113,I'm not gonna give you  another penny.,events,,0.8790180087089539
5993,5993,01:26:02:17,01:26:08:08,5251033029316736209.xml,1677,"I'll try.  Try. Oh, hello.  What time did you  roll in last night? Good rehearsal, was it? ",events,,0.8790113925933838
790,790,00:44:03:09,00:44:05:23,5245830105934359183.xml,791,"Callum covering for me, why would he  do that? You tell me?",events,,0.8790018558502197
16608,16608,01:01:44:17,01:01:51:10,5266645664934403562.xml,1177,"Done.  We're now entering a new  era of lavatorial security. Great, but can I...  And to prevent a repeat of last night's unfortunate incident,",events,,0.8788697123527527
4329,4329,00:00:41:20,00:00:45:13,5251033029316736209.xml,13,"I said to Amir I'd meet him in  the office to go through our pitch. Well,  I suppose I'LL have to eat it, then.",events,,0.8788668513298035
6350,6350,01:42:52:15,01:42:55:14,5251033029316736209.xml,2034,I thought it'd all blow over.  He's a kid!  You know what'll happen if Lucy goes to the police about this!,events,,0.8788560032844543
18311,18311,00:45:16:15,00:45:18:17,5269245838135402929.xml,775,If you'd just accepted  my Dad's offer.,events,,0.8788464069366455
2541,2541,00:23:54:21,00:24:21:00,5248439298566680341.xml,461,"We're going.  Just remembered.  You know I got  that text off my probation officer. He's going to be phoning about now.  I need to be in to take it. Oh, but I want you there.  But if I'm talking to him  in the middle of a pub, it's not gonna sound good. No. Do you know how much I love you?  Come on, kids, we're going. ",events,,0.8788323402404785
19455,19455,00:21:18:21,00:21:48:10,5271844722846213628.xml,425,"Mummy left me outside  the Co-op once. She'd taken me in the pram  to do a spot of shopping. It wasn't till she got home  that she realised she'd left me. And did she go back?  Not until after Doctor Who. Do you know what  the worst thing is? Someone had only gone and nicked  the wheels off the pram. Funny little thing, aren't you(?)  MUSIC: ""Take On Me"" by A-ha  Oh!  This was first released 19th October 1984. I used to have  a Morten Harket necklace.",events,,0.8788312077522278
2503,2503,00:21:56:18,00:22:04:05,5248439298566680341.xml,423,"Oh, no.  I couldn't.  Tell her, Stace.  No, she should wear what she feels comfortable in. Has that damned moggy  been back in this house again?",events,,0.878791868686676
10773,10773,00:05:21:11,00:05:23:09,5258818087037440299.xml,142,"You been living here for nothing,  and now you're gonna do a bunk?",events,,0.8787554502487183
22906,22906,01:39:04:06,01:39:20:23,5274434588125702436.xml,1813,"Right, let's get you ready.  I've only just sat down. No, you can't rest.  Time for Phase Two. Let's go.  And you, come on.",events,,0.8787197470664978
18939,18939,01:22:16:06,01:22:18:11,5269245838135402929.xml,1403,"Sorry Charlie, she's looped. ",events,,0.8787079453468323
18321,18321,00:46:17:13,00:46:24:23,5269245838135402929.xml,785,"And I got the bus in.  I just wanted to see him. I brought him flowers and made  him a tape, saying that I love him",events,,0.8786965012550354
4834,4834,00:26:19:18,00:26:24:08,5251033029316736209.xml,518,I do.  You know I do. ,events,,0.8786745071411133
14377,14377,01:21:25:21,01:21:30:01,5264050645694159353.xml,1528,"Well, go on then.  Go on, do it!  I want you to do it! ",events,,0.8786133527755737
21748,21748,00:35:50:21,00:35:55:16,5274434588125702436.xml,655,"If it weren't for them,  I'd have washed my hands  of you, Tanya and Jack long ago.",events,,0.8785960674285889
3122,3122,00:53:13:06,00:53:16:01,5248439298566680341.xml,1042,"Would you go and help Jack  cleaning up, please? I suppose.  Thank you.",events,,0.8784729838371277
11626,11626,00:50:15:12,00:50:24:19,5258818087037440299.xml,995,"Look, thanks for  doing this, Billy. No worries. I know this is hard for Jay, but we  all need to find a way to get along. Absolutely.  I just  want what's best for him, you know. He's lucky to have you.",events,,0.8784711360931396
22791,22791,01:32:49:22,01:32:52:10,5274434588125702436.xml,1698,"Right, well...I'll see myself out. ",events,,0.8784597516059875
13081,13081,00:11:19:16,00:11:22:00,5264050645694159353.xml,232,"""4 o'clock. ",events,,0.8783799409866333
2810,2810,00:38:24:04,00:38:27:00,5248439298566680341.xml,730,"No flaming way!  Come on, Ronnie, I'm getting it in the neck from Auntie Peg.",events,,0.878370463848114
10969,10969,00:14:50:23,00:14:59:17,5258818087037440299.xml,338,"Hey, has the DJ got his act together?  Yeah, it's cool. Yeah! Who let you in?  Family connections.",events,,0.8782984018325806
5209,5209,00:44:54:22,00:44:56:20,5251033029316736209.xml,893,We're 60 quid up.  So everyone's happy.,events,,0.8782832622528076
16688,16688,01:06:18:11,01:06:19:13,5266645664934403562.xml,1257,"200 quid.  So I think I'm gonna head  into town later, splash the cash on some new clothes.",events,,0.8782623410224915
5148,5148,00:41:40:16,00:41:42:03,5251033029316736209.xml,832,No.  Course you're not. ,events,,0.8780811429023743
5563,5563,01:04:49:04,01:04:54:15,5251033029316736209.xml,1247,"At least Mrs Branning's on the mend  now, eh?  You must feel better.",events,,0.8780616521835327
6256,6256,01:38:23:20,01:38:28:14,5251033029316736209.xml,1940,"Please, Mr Manager.  None of this is her fault.  Patrick  accidentally left the fridge off.",events,,0.877993643283844
14743,14743,01:41:56:03,01:42:05:22,5264050645694159353.xml,1894,"I don't deserve you.  No, you're wrong. ",events,,0.8779919147491455
611,611,00:34:56:16,00:34:58:03,5245830105934359183.xml,612,"Yeah, I think it's for the best. ",events,,0.8779391646385193
4623,4623,00:15:35:04,00:15:38:10,5251033029316736209.xml,307,But it's already booked -  I'd have to cancel. Why waste good money when  there's a perfectly good room here?,events,,0.8779264688491821
4619,4619,00:15:27:07,00:15:28:04,5251033029316736209.xml,303,"With Sean and Roxy away,  Pat can have their room. What? And I don't want any thanks.",events,,0.8778647184371948
8630,8630,01:53:07:15,01:53:08:10,5253646087419594905.xml,2021,"Come on, everyone.  Let's get going. I thought we was supposed to be mates.",events,,0.8778483271598816
10120,10120,01:23:12:03,01:23:20:24,5256228221757951173.xml,1409,"To get you orange juice,  freshly squeezed with the bits. It's in the fridge.  Didn't want you  going without two mornings in a row. And did I turn up to your  stupid rendezvous?  I suppose that's where you've been all night?",events,,0.8777540922164917
2767,2767,00:35:37:15,00:35:41:17,5248439298566680341.xml,687,"Um, St Pancras Station, apparently. ",events,,0.8777529001235962
9130,9130,00:23:24:21,00:23:27:15,5256228221757951173.xml,419,Summer's all right?  She's good. Mum and Keith are minding her.,events,,0.8777492046356201
16733,16733,01:09:56:00,01:09:58:19,5266645664934403562.xml,1302,"Um, I kind of spent it... just  with the honeymoon and everything,",events,,0.8777274489402771
10880,10880,00:10:59:20,00:11:03:03,5258818087037440299.xml,249,"About time we wet the baby's head,  eh? Just a little forensic examination!  The boy could be in real trouble.",events,,0.8776996731758118
8106,8106,01:24:52:23,01:25:24:03,5253646087419594905.xml,1497,"Come inside, let's talk about it.  I said, just leave me alone! Bradley...  No.  No, don't say my name. Don't ever, ever say my name! Please...  Why did you do it, Dad? Why did you come back?  Why couldn't you just leave us all alone? Me, Stace, Tanya, the girls?  Why?  You know, I wish you were dead. ",events,,0.877659022808075
6794,6794,00:10:56:13,00:10:58:14,5253646087419594905.xml,185,"I thought we were past all this,  Veronica.  But you've disappointed me yet again.",events,,0.8775864243507385
21361,21361,00:15:45:19,00:15:52:24,5274434588125702436.xml,268,"All right, love, come in.  Dad's back now.  ..Are you  really better now, Dad? Yeah.",events,,0.8775203227996826
8201,8201,01:30:03:15,01:30:05:17,5253646087419594905.xml,1592,"Are you serious?  Well, HE obviously is.",events,,0.8775129318237305
14452,14452,01:26:15:24,01:26:19:20,5264050645694159353.xml,1603,Take it off. ,events,,0.8774996399879456
11988,11988,01:07:24:17,01:07:26:17,5258818087037440299.xml,1357,"So, what do you want?  You come to apologise for your little display last night?",events,,0.877417802810669
8119,8119,01:25:48:11,01:25:50:04,5253646087419594905.xml,1510,It's the last trials today.  Then they're gonna pick the team.,events,,0.8773902654647827
21774,21774,00:37:41:11,00:37:44:23,5274434588125702436.xml,681,"Sounds like you had no choice.  But it ain't right, is it?",events,,0.8773486018180847
14502,14502,01:29:54:18,01:29:56:03,5264050645694159353.xml,1653,"Go on, look down on me now,  go on, you big blonde tart! Ronnie, I think you'd better let her go.",events,,0.8773213028907776
4411,4411,00:04:27:19,00:04:29:01,5251033029316736209.xml,95,I think I'd better...  (take him to the doctor).,events,,0.8772417902946472
3914,3914,01:31:47:07,01:31:50:17,5248439298566680341.xml,1834,"Yeah well, not this month.  I'm sorry. ",events,,0.8772405385971069
1311,1311,01:10:37:07,01:10:39:15,5245830105934359183.xml,1312,"Bradley, go, go, go!  Come on, Bradley.  Pass it! ",events,,0.8771771788597107
11934,11934,01:05:15:15,01:05:17:19,5258818087037440299.xml,1303,"Oh, come on, Ian.  I'd really appreciate it. What time's your flight? Half nine.",events,,0.8771569132804871
10022,10022,01:16:15:10,01:16:20:08,5256228221757951173.xml,1311,"And the other kids  are all right, yeah? Yeah, fine.",events,,0.8770194053649902
22971,22971,01:42:44:05,01:42:47:08,5274434588125702436.xml,1878,You were 16. ,events,,0.8769670128822327
12852,12852,00:00:00:15,00:00:23:17,5264050645694159353.xml,3,"Mind you, they've never had someone go to Oxford before, so they're really cheering him on.",events,,0.8769598007202148
16145,16145,00:35:00:17,00:35:01:23,5266645664934403562.xml,714,I'm not gonna tell no-one.  The  only person who's gonna know is me.,events,,0.876928985118866
6898,6898,00:17:02:14,00:17:05:00,5253646087419594905.xml,289,And you don't deserve  to be forgiven.,events,,0.8768974542617798
8509,8509,01:46:00:05,01:46:12:22,5253646087419594905.xml,1900,"Hello, Peter.  Is Ian home? Jane?  I think they've gone across  to Mr Trueman's leaving party. So it's just you and me, then. ",events,,0.8768839836120605
20109,20109,00:56:41:20,00:56:43:17,5271844722846213628.xml,1079,"Well, now that Sean is  out of the picture...",events,,0.8768541812896729
5599,5599,01:06:43:13,01:06:46:19,5251033029316736209.xml,1283,Don't ever do that to me again. ,events,,0.8768292665481567
16998,16998,01:24:47:23,01:24:57:23,5266645664934403562.xml,1567,But if you ask me it's about time  they stopped casting aspersions on the family and made an effort  to find out who's really responsible.,events,,0.8768242597579956
6012,6012,01:27:05:07,01:27:08:16,5251033029316736209.xml,1696,Our kids'll thank us  for this one day.,events,,0.8766199350357056
16336,16336,00:45:20:07,00:45:21:00,5266645664934403562.xml,905,"Sorry, Tanya.  Oh... ",events,,0.8765755891799927
21003,21003,01:49:49:21,01:49:51:17,5271844722846213628.xml,1973,Good news then?  Too right.  That was my mate.  He's got a car sorted.,events,,0.8765531182289124
15305,15305,02:17:21:23,02:17:29:02,5264050645694159353.xml,2456,"But we've been more worried  about the bruising to his head. He has some bruising  and swelling to his brain, but nothing that requires surgery.",events,,0.8764828443527222
12416,12416,01:32:58:09,01:33:00:01,5258818087037440299.xml,1785,"Typical!  Right, downstairs,  everybody.  We'll open a bottle or two down there.",events,,0.8764602541923523
18516,18516,00:56:30:15,00:56:33:02,5269245838135402929.xml,980,Slater.  Stacey Slater. ,events,,0.8764517903327942
18910,18910,01:20:38:00,01:20:42:09,5269245838135402929.xml,1374,"Well, that's about six days,  23 and a half hours too long.",events,,0.8764223456382751
12602,12602,01:44:12:02,01:44:13:09,5258818087037440299.xml,1971,I saw you in the Square  with his arm around you!,events,,0.8764151334762573
17947,17947,00:20:37:24,00:20:47:22,5269245838135402929.xml,411,What did I tell you?  I've got  another failure on my hands. Hang on a minute.  But we sold out yesterday. We sold twice as much today.  We sold out again.,events,,0.876379668712616
23022,23022,01:46:20:08,01:46:22:14,5274434588125702436.xml,1929,"Where have you been?  Giving the money back, like you told me to.",events,,0.8763758540153503
15098,15098,02:03:47:17,02:03:56:09,5264050645694159353.xml,2249,"You heard from him, your dad?  No. No, me neither.  I know I wasn't exactly  Mum Of The Year, but the odd phone call wouldn't go amiss.",events,,0.876349687576294
21389,21389,00:17:25:16,00:17:28:22,5274434588125702436.xml,296,There was a kiss involved.  What?! ,events,,0.8762218356132507
6790,6790,00:10:40:06,00:10:43:08,5253646087419594905.xml,181,Most out of character.  I just don't understand why you'd  force poor Danielle to go rooting through my private affairs.,events,,0.8762052059173584
20394,20394,01:11:23:11,01:11:25:10,5271844722846213628.xml,1364,"You'd better get used to that.  And what's she gotta get used to, eh? An ageing trolley dolly for  a father. Whose fault is that?",events,,0.8761935830116272
21297,21297,00:11:00:15,00:11:06:10,5274434588125702436.xml,204,why someone might have  done this deliberately? They're saying it's my wife.  They?,events,,0.8760613799095154
763,763,00:42:15:02,00:42:16:04,5245830105934359183.xml,764,Maybe you shouldn't sleep with  Tanya for a couple of nights.,events,,0.8760083317756653
195,195,00:11:35:14,00:11:37:05,5245830105934359183.xml,196,"Is she in?  So you got the letter, then?",events,,0.8759856224060059
9895,9895,01:08:51:12,01:08:55:04,5256228221757951173.xml,1184,or her hen weekend! ,events,,0.8758699297904968
1831,1831,01:39:51:24,01:39:56:02,5245830105934359183.xml,1832,"Stacey, Stace.  Meet my daughter. ",events,,0.8758557438850403
17129,17129,01:32:24:24,01:32:34:19,5266645664934403562.xml,1698,"I've been awake all night worrying  about us, about the girls... Yes, well we're all  under a lot of strain. And the police sniffing about,  that ain't helping. No, I know.",events,,0.8758427500724792
13168,13168,00:15:14:18,00:15:23:07,5264050645694159353.xml,319,Are you gonna come with me?  I'll be along in a minute. I've just gotta sort something out.,events,,0.8757830262184143
12007,12007,01:08:29:09,01:08:34:03,5258818087037440299.xml,1376,"Ah.  Yeah, well I was gonna pop  down to Clacton later to see Brenda.",events,,0.8757291436195374
18067,18067,00:28:12:14,00:28:20:13,5269245838135402929.xml,531,Yeah.  It was me. ,events,,0.8757002949714661
15293,15293,02:16:14:15,02:16:16:07,5264050645694159353.xml,2444,just to stop us from going.  Max wouldn't go that far.,events,,0.8756486773490906
742,742,00:40:53:22,00:40:58:06,5245830105934359183.xml,743,"I won't.  All right, I wont be late. ",events,,0.8756294250488281
14348,14348,01:20:01:16,01:20:03:20,5264050645694159353.xml,1499,Turn around.  Nah.,events,,0.8756160140037537
8183,8183,01:28:34:02,01:28:42:22,5253646087419594905.xml,1574,"What's he doing here?  Handing out leaflets for a youth club. Oh, not another do-gooder.  At least you can talk to him. Not like you and Mum.",events,,0.8755668997764587
20562,20562,01:20:33:16,01:20:37:12,5271844722846213628.xml,1532,I'm gonna go. ,events,,0.8755156397819519
16386,16386,00:49:03:14,00:49:04:12,5266645664934403562.xml,955,Here.  Did you know Jane was a  part of this lot?  Performing?,events,,0.8755086660385132
14610,14610,01:34:56:13,01:35:03:15,5264050645694159353.xml,1761,"And Max?  He's history.  I'm gonna go back to the club,  get the rest of my stuff,",events,,0.8753802180290222
11223,11223,00:29:05:18,00:29:09:24,5258818087037440299.xml,592,"When I'm elected, I'm gonna  start school time at midday.",events,,0.8753504753112793
21569,21569,00:26:48:00,00:26:50:00,5274434588125702436.xml,476,Why you trying to get away from me?  You know why.,events,,0.8753212094306946
14080,14080,01:04:57:08,01:05:02:10,5264050645694159353.xml,1231,"I'm just going out  to find Lauren, all right?",events,,0.8752439022064209
20933,20933,01:45:46:05,01:45:48:02,5271844722846213628.xml,1903,Hi.  Hiya.,events,,0.8752151131629944
22017,22017,00:51:38:21,00:51:43:00,5274434588125702436.xml,924,"Don't give me that!  You've been  trying to spoil everything! Why would I do that?  Cos tonight,  I did as a favour to you!",events,,0.8751510381698608
13572,13572,00:35:35:19,00:35:36:16,5264050645694159353.xml,723,"Inspector, I don't know  if you've met my nearly ex-wife. She's a bit upset.",events,,0.8751494884490967
19240,19240,00:10:14:05,00:10:15:04,5271844722846213628.xml,210,I want you to stay  as calm as possible.,events,,0.8751261830329895
1562,1562,01:24:11:04,01:24:17:24,5245830105934359183.xml,1563,"Sort of.  Right, I'm gonna nip to the club.  I'll see you back in the house. All right, darling.",events,,0.8751240372657776
8714,8714,00:00:14:01,00:00:36:07,5256228221757951173.xml,3,"Double three, yeah?  For the eighth time. ",events,,0.8751014471054077
18773,18773,01:11:54:10,01:12:09:09,5269245838135402929.xml,1237,"Oh, I don't know.  I keep calling him and nothing, and Stacey doesn't know where he is. I should have never have taken that  flat, not behind his back, he was always gonna flip out about it. And you're sure that's what  this is about?  The flat? Yeah, why?  What else? ",events,,0.8750497102737427
10294,10294,01:32:40:03,01:32:42:05,5256228221757951173.xml,1583,I've been asking for ages?  The first you heard about him was yesterday.,events,,0.875023603439331
18594,18594,01:01:39:08,01:01:42:24,5269245838135402929.xml,1058,"No, not yet.  It's too soon. ",events,,0.8749237060546875
14507,14507,01:29:59:21,01:30:01:11,5264050645694159353.xml,1658,"Let her go, for God's sake! ",events,,0.8748307228088379
21728,21728,00:34:43:13,00:34:45:22,5274434588125702436.xml,635,Sure you ain't getting it for Ben? ,events,,0.8747497200965881
6648,6648,00:02:50:13,00:03:03:09,5253646087419594905.xml,39,"I know, darling.  You'll thank me when you're 25  and you ain't got scars all over your face. Go on then, off you go.  If Morgan ain't infectious now,  can Nana Pat come home? She's coming home this morning.  The whole gang will be back together again. Yes!",events,,0.8747468590736389
21746,21746,00:35:44:10,00:35:48:13,5274434588125702436.xml,653,Your children.  Poor Jim -  who's having to hear all this when  he's supposed to be recovering.,events,,0.8747335076332092
5071,5071,00:37:35:23,00:37:38:11,5251033029316736209.xml,755,I'm sure you did... !  Oi!,events,,0.8746634125709534
14285,14285,01:15:59:20,01:16:03:15,5264050645694159353.xml,1436,and you.  And now I've got it in my  hand and I'm pointing it at you.,events,,0.8746539354324341
4158,4158,01:46:21:09,01:46:28:03,5248439298566680341.xml,2078,Perhaps I should have stayed  where I was.,events,,0.8745701313018799
19662,19662,00:33:08:14,00:33:11:17,5271844722846213628.xml,632,"Listen, I'll sort the kids out.  Don't worry, yeah?",events,,0.8745259046554565
13348,13348,00:24:33:02,00:24:33:20,5264050645694159353.xml,499,Oh!  THEY LAUGH,events,,0.8744136691093445
19135,19135,00:05:31:17,00:05:36:12,5271844722846213628.xml,105,"And the winning ticket is...  number 26.  That's you, Shirl! ",events,,0.8743881583213806
3804,3804,01:25:35:09,01:25:37:07,5248439298566680341.xml,1724,Should've known he was out of my  league. Don't put yourself down.,events,,0.874320387840271
8717,8717,00:00:51:20,00:00:54:20,5256228221757951173.xml,6,If you hadn't fixed that door  then I could see her.,events,,0.8742652535438538
1370,1370,01:13:45:00,01:13:47:24,5245830105934359183.xml,1371,THEY SHOUT  Come on!,events,,0.8742181658744812
12911,12911,00:03:25:13,00:03:38:07,5264050645694159353.xml,62,"And now you've moved  up in the world - driving a mini-cab and...  Helping out old friends. Patrick is away visiting Yolande.  Heather, she's called in sick, so me and Chelsea are helping out.",events,,0.8741899728775024
13118,13118,00:12:30:05,00:12:41:07,5264050645694159353.xml,269,"£3.71.  Of course.  You must need every penny now,  what with the post office closing...",events,,0.874117910861969
8809,8809,00:05:25:18,00:05:27:16,5256228221757951173.xml,98,"You know, like Noah.  Well, the second a motor turns up you're back on dry land.",events,,0.8741129040718079
3610,3610,01:15:27:00,01:15:33:01,5248439298566680341.xml,1530,"Did she say anything?  Why she's been acting like this?  No, babe, she didn't have to. ",events,,0.8739542365074158
20593,20593,01:22:39:09,01:22:40:00,5271844722846213628.xml,1563,"Sadly, I got that job.  So where did she go? She didn't say.",events,,0.8739305138587952
2465,2465,00:20:27:14,00:20:30:04,5248439298566680341.xml,385,I got a part in the school play.  Not just any part.,events,,0.8738757967948914
10538,10538,01:48:05:12,01:48:15:17,5256228221757951173.xml,1827,"Look, if you're willing to  be there for me and Darren... ..yeah, I got some bad memories here. ",events,,0.8738361597061157
9560,9560,00:49:09:15,00:49:11:06,5256228221757951173.xml,849,"Who's been spreading rubbish?  Why, you worried Suzy's been talking, are you?",events,,0.8737838268280029
3295,3295,01:01:44:11,01:01:46:24,5248439298566680341.xml,1215,"Oh, right, she was gonna  look after Oscar for me.",events,,0.8737701177597046
17760,17760,00:10:23:07,00:10:34:17,5269245838135402929.xml,224,"Suzy told me to buy one.  Pretend I made it.  But they all look too fancy. Couldn't we help, Shirl?  What?  First the dogs  and now our vodka night. Won't take long if we make  a few repairs to the old one.",events,,0.8737654089927673
4922,4922,00:29:47:16,00:29:49:17,5251033029316736209.xml,606,"All right!  All right!  Keep your  hair on, will ya, I'm coming!",events,,0.8736982345581055
12139,12139,01:15:06:13,01:15:08:16,5258818087037440299.xml,1508,"I don't know anything.  Having a laugh behind my back? Oh, Ian! You said he wasn't violent.",events,,0.8736667633056641
5134,5134,00:40:37:24,00:40:41:17,5251033029316736209.xml,818,"What?  With Jack in a body bag?  Fancy being banged up  for life, do you? I had plans.",events,,0.8735752105712891
13978,13978,00:57:39:15,00:57:52:10,5264050645694159353.xml,1129,Hey.  I thought you weren't coming. What else am I gonna do?  Club's shut.  Nothing on the telly. So what happened to the catsuit?  I'm too fat.,events,,0.873548150062561
3013,3013,00:48:01:14,00:48:02:19,5248439298566680341.xml,933,That's right.  How'd it go? All right.,events,,0.8735105395317078
9596,9596,00:50:59:02,00:51:01:04,5256228221757951173.xml,885,If he hadn't have been with you  he'd have been dead a long time ago. I'm sorry.,events,,0.8734143972396851
15006,15006,01:58:04:20,01:58:07:07,5264050645694159353.xml,2157,"You will see your dad  soon though, I promise.",events,,0.8734016418457031
19456,19456,00:21:48:11,00:21:56:17,5271844722846213628.xml,426,"That was Phil.  She's had a girl.  Oh, brilliant.  Is she all right? I don't know.  I forgot to ask. ",events,,0.8733546733856201
1548,1548,01:23:20:03,01:23:24:17,5245830105934359183.xml,1549,"Right, I want all this cleared up.  Ricky, what's the time? Quarter to seven.",events,,0.8733536601066589
10993,10993,00:16:28:20,00:16:30:23,5258818087037440299.xml,362,Dinner. ,events,,0.8732565641403198
5136,5136,00:40:43:16,00:40:51:02,5251033029316736209.xml,820,"What?  It don't matter now, does it? Cos it ain't gonna happen. You know, that gun was my last  chance to get my family back.",events,,0.873249351978302
20457,20457,01:14:26:04,01:14:32:15,5271844722846213628.xml,1427,"You couldn't watch him  for a moment, could you? Me?  I'll just be a few minutes. I need to get back to the club.",events,,0.8732204437255859
14734,14734,01:41:03:14,01:41:08:18,5264050645694159353.xml,1885,"No, we're not.  Mum said we're not  leaving till a bit. Your mum's got it wrong, darlin'.",events,,0.8732151985168457
20356,20356,01:09:13:10,01:09:14:18,5271844722846213628.xml,1326,"Jack, you need to take Oscar.  Well, I can't right now. I need to be at work!",events,,0.873173713684082
18271,18271,00:41:45:23,00:41:50:00,5269245838135402929.xml,735,"They show a week on week rise.  Yes, but in units of tens  rather than hundreds -",events,,0.8730330467224121
8616,8616,01:52:33:16,01:52:37:17,5253646087419594905.xml,2007,"I'll put the house on the market  tomorrow, sell up everything and be there with you.",events,,0.8729638457298279
5303,5303,00:50:48:16,00:50:50:15,5251033029316736209.xml,987,"This could be very serious.  'Scuse me, I've just gotta... ",events,,0.8728377223014832
10363,10363,01:37:54:02,01:37:56:16,5256228221757951173.xml,1652,And you've got one on the way.  Yep.,events,,0.8728299736976624
18511,18511,00:56:03:23,00:56:20:05,5269245838135402929.xml,975,"This is the last time.  No more favours.  We're done now. Just give me the name.  Gun first. We're not bargaining for that.  What you're buying is my silence.  And how many more times  will I have to do that? What are you going to do to them?  I'm just gonna talk.  And if they don't want to listen, then what?",events,,0.8728107810020447
20554,20554,01:20:05:09,01:20:09:13,5271844722846213628.xml,1524,"Look, I want this.  I do.  I really do.",events,,0.872799277305603
3770,3770,01:23:33:07,01:23:33:13,5248439298566680341.xml,1690,A new life together.  Soon as you're 16.,events,,0.8727986216545105
13424,13424,00:28:24:01,00:28:32:13,5264050645694159353.xml,575,"No, they're still holding him for  questioning.  They won't tell me what about but it's gotta be a mistake. If it was serious Jack,  wouldn't have waived his right to a solicitor.",events,,0.8727648854255676
13918,13918,00:54:23:00,00:54:24:19,5264050645694159353.xml,1069,"Is Jack back for good?  Course he is, darling.",events,,0.8726058602333069
22624,22624,01:24:31:09,01:24:34:19,5274434588125702436.xml,1531,"I'm not talking to you.  Whitney, what happened?",events,,0.8725574016571045
22529,22529,01:18:08:21,01:18:12:20,5274434588125702436.xml,1436,You think you can go behind my back  with my kids?  Turn them against me.,events,,0.8725462555885315
3525,3525,01:11:24:01,01:11:34:04,5248439298566680341.xml,1445,"It's very good of you to fit  me in at such short notice. Well, we've gotta look our best  for the family photo, haven't we? Oh, about that. I don't know if Phil told you,  but it's a family portrait.",events,,0.8725405335426331
9779,9779,01:01:33:23,01:01:35:17,5256228221757951173.xml,1068,"I'm just gonna finish these,  I'll be right over.",events,,0.872497022151947
9520,9520,00:47:44:10,00:47:47:13,5256228221757951173.xml,809,We all have.  Come here. ,events,,0.8723507523536682
21821,21821,00:39:49:21,00:39:58:06,5274434588125702436.xml,728,"I only know what Max has told me.  He was in here before.  Yes, I know. ",events,,0.8723084926605225
8821,8821,00:05:50:22,00:05:55:23,5256228221757951173.xml,110,"Yes, darling.  I'm, um, having a little thing  in the gardens later for Frank.",events,,0.8722911477088928
22468,22468,01:15:38:05,01:15:43:22,5274434588125702436.xml,1375,"and we can sit on the sofa  and watch Thelma and Louise. Yeah. And we'll cheer as they drive  over the cliff, like we always do!",events,,0.8722909092903137
8127,8127,01:26:14:15,01:26:17:11,5253646087419594905.xml,1518,They didn't believe she was ill  yesterday.  I could tell by that snooty secretary's voice.,events,,0.8721882104873657
15374,15374,02:20:38:17,02:20:47:06,5264050645694159353.xml,2525,"Mrs Branning.  Jack.  Look, if you've come to talk to Abi,  it's not the right time. Besides, I've asked,  she didn't see anything. Actually, it's the two of you  we need to talk to.",events,,0.872154951095581
21738,21738,00:35:19:03,00:35:21:08,5274434588125702436.xml,645,"She wouldn't see me, Dot. ",events,,0.8721292614936829
11359,11359,00:35:49:05,00:35:52:18,5258818087037440299.xml,728,"So, did you have  a nice weekend away? Yes.  Great.  Yeah. ",events,,0.8720784187316895
7625,7625,00:57:03:14,00:57:06:23,5253646087419594905.xml,1016,"What time was you up this morning?  Sorry, sorry.  Did I...did I disturb you?",events,,0.8720505237579346
15655,15655,00:11:08:21,00:11:10:12,5266645664934403562.xml,224,We talked. ,events,,0.8718450665473938
21973,21973,00:49:00:15,00:49:03:05,5274434588125702436.xml,880,once I've got rid of the dog.  And the Chihuahua.,events,,0.8718172311782837
8254,8254,01:32:35:16,01:32:38:13,5253646087419594905.xml,1645,"Oh, Jack.  These last few weeks,  I mean, Lauren's been responsible, she hasn't put a foot wrong.",events,,0.8717764019966125
21802,21802,00:38:56:00,00:38:58:00,5274434588125702436.xml,709,What?  Why did you let her think it was all fine and dandy?,events,,0.8717682957649231
16995,16995,01:24:37:10,01:24:42:04,5266645664934403562.xml,1564,"That lady inspector,  she just called Bradley. They're probably trying you now. ",events,,0.8717606067657471
